CaseID,Gender,Age,Education,Race/ Ethnicity,Region,Registered to Vote,Religion,Volunteered in the Past Year,Attended a Political Rally in the Past Year,Contacted an Elected Official in the Past Year,Political Donation in the Past Year,Househol Income,Political Party,User Frequency
44,Female,34,High School,Hispanic,South,No,Agnostic,0,0,0,0,25k to <50k,Other,A few times a week
47,Male,44,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,1,100k to <150k,Republican,Once a day
48,Female,50,Bachelor and Beyond,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,1,1,0,75k to <100k,Republican,Several Times a day
50,Female,57,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Other,A few times a week
51,Male,61,Bachelor and Beyond,Black/Non-Hispanic,Northeast,Yes,Nothing in particular,0,0,0,0,100k to <150k,Democrat,Several Times a day
52,Male,50,Some College,White/Non-Hispanic,West,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Republican,A few times a week
54,Male,63,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,1,0,50k to <75k,Other,A few times a week
55,Female,50,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Republican,A few times a week
108,Male,67,High School,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,1,75k to <100k,Other,Once a day
111,Female,51,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Atheist,1,1,1,1,100k to <150k,Democrat,Several Times a day
112,Male,39,Bachelor and Beyond,White/Non-Hispanic,Midwest,No,"Christian, Roman Catholic",0,0,0,0,150k+,Democrat,Once a day
113,Male,25,Bachelor and Beyond,2+ Races/Non-Hispanic,Northeast,Yes,Other,1,0,0,0,75k to <100k,Democrat,Several Times a day
114,Male,33,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Atheist,0,0,0,0,50k to <75k,Democrat,Several Times a day
115,Female,23,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",0,0,0,0,100k to <150k,Other,Several Times a day
116,Male,57,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Agnostic,0,0,0,1,100k to <150k,Democrat,Several Times a day
117,Female,36,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Other,1,1,1,0,75k to <100k,Democrat,A few times a month
119,Female,75,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Jewish,1,0,0,0,100k to <150k,Other,Once a month or less
120,Female,24,Some College,White/Non-Hispanic,West,Yes,Nothing in particular,1,1,1,1,<10k,Democrat,Several Times a day
122,Male,73,Bachelor and Beyond,2+ Races/Non-Hispanic,West,Yes,Other,0,1,1,1,100k to <150k,Other,A few times a month
123,Male,48,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,100k to <150k,Other,Once a month or less
124,Female,53,Bachelor and Beyond,Hispanic,West,Yes,Agnostic,1,0,0,0,100k to <150k,Other,Several Times a day
126,Male,39,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,0,50k to <75k,Other,Several Times a day
127,Male,68,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Jewish,1,1,1,1,100k to <150k,Democrat,Several Times a day
130,Female,31,Some College,Black/Non-Hispanic,South,Yes,Other,1,1,1,1,150k+,Democrat,A few times a month
131,Female,46,Some College,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,,0,0,25k to <50k,Other,A few times a week
132,Male,58,Bachelor and Beyond,Black/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,1,0,100k to <150k,Other,A few times a week
133,Female,27,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Protestant",0,0,0,0,25k to <50k,Republican,Once a month or less
134,Male,40,Bachelor and Beyond,Other/Non-Hispanic,West,Yes,Agnostic,0,0,0,0,50k to <75k,Democrat,Several Times a day
136,Female,25,Bachelor and Beyond,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,0,0,0,75k to <100k,Republican,Once a day
138,Male,64,Bachelor and Beyond,White/Non-Hispanic,West,,Other,1,0,0,0,75k to <100k,Other,Once a week
139,Female,34,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,100k to <150k,Democrat,Once a month or less
140,Male,58,Bachelor and Beyond,Other/Non-Hispanic,Northeast,Yes,Nothing in particular,1,1,0,1,75k to <100k,Other,Several Times a day
143,Male,44,Some College,White/Non-Hispanic,West,Yes,"Christian, Roman Catholic",0,0,0,0,100k to <150k,Democrat,Several Times a day
144,Female,36,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Republican,A few times a month
146,Male,73,High School,White/Non-Hispanic,Midwest,Yes,Nothing in particular,0,0,1,1,50k to <75k,Other,Several Times a day
147,Male,64,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Atheist,1,1,1,1,100k to <150k,Other,A few times a week
148,Male,52,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Protestant",1,0,1,0,100k to <150k,Republican,Several Times a day
149,Female,45,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Jewish,1,0,1,0,75k to <100k,Democrat,A few times a week
151,Male,66,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,0,0,0,50k to <75k,Other,A few times a week
154,Male,38,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Republican,Several Times a day
155,Female,26,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Atheist,,0,0,0,10k to <25k,Democrat,A few times a month
156,Female,41,Some College,White/Non-Hispanic,West,Yes,"Christian, Mormon",0,0,0,0,10k to <25k,Republican,Once a month or less
157,Female,54,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Jewish,1,1,1,1,100k to <150k,Democrat,A few times a month
159,Male,69,Bachelor and Beyond,Black/Non-Hispanic,West,Probably,Nothing in particular,1,0,1,0,150k+,Other,Several Times a day
162,Male,61,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,0,0,0,150k+,Other,Once a day
163,Male,45,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,1,75k to <100k,Other,Several Times a day
164,Female,60,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,1,0,50k to <75k,Democrat,Once a day
167,Female,22,High School,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Democrat,Several Times a day
168,Female,46,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,1,0,75k to <100k,Democrat,Once a week
169,Male,71,Some College,White/Non-Hispanic,West,Yes,Nothing in particular,0,1,1,1,150k+,Democrat,A few times a week
171,Male,72,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Jewish,0,1,1,1,75k to <100k,Democrat,A few times a week
172,Male,72,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Protestant",0,0,0,0,10k to <25k,Republican,Once a week
174,Female,19,Some College,2+ Races/Non-Hispanic,West,No,"Christian, Mormon",0,0,0,0,10k to <25k,Other,Several Times a day
178,Male,80,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,1,0,75k to <100k,Republican,Once a day
181,Female,29,Bachelor and Beyond,Hispanic,West,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Democrat,Several Times a day
183,Male,33,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,0,100k to <150k,Other,Several Times a day
185,Male,32,Some College,Hispanic,West,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Other,Once a month or less
187,Female,58,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Other,1,0,1,1,100k to <150k,Democrat,A few times a week
189,Female,60,Bachelor and Beyond,White/Non-Hispanic,Midwest,No,Nothing in particular,1,0,1,0,150k+,Other,Several Times a day
190,Female,20,Some College,Hispanic,Midwest,Yes,Nothing in particular,1,1,1,1,100k to <150k,Other,Several Times a day
192,Male,70,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,1,0,0,25k to <50k,Republican,Several Times a day
193,Female,43,Some College,2+ Races/Non-Hispanic,Northeast,No,"Christian, Protestant",0,0,0,0,<10k,Other,A few times a month
194,Male,31,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Agnostic,0,0,1,0,50k to <75k,Other,Several Times a day
195,Male,74,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Jewish,1,1,1,1,75k to <100k,Democrat,Several Times a day
197,Male,64,Some College,White/Non-Hispanic,South,Yes,Agnostic,0,0,1,0,100k to <150k,Republican,Once a day
199,Male,62,Bachelor and Beyond,White/Non-Hispanic,West,Yes,"Christian, Protestant",0,0,0,0,150k+,Other,Once a week
200,Female,60,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Other,A few times a week
203,Male,72,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Jewish,1,0,0,1,100k to <150k,Other,Once a day
205,Female,55,Some College,White/Non-Hispanic,West,Yes,"Christian, Protestant",1,1,1,1,25k to <50k,Other,Several Times a day
207,Male,46,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Nothing in particular,0,1,0,0,150k+,Other,Once a month or less
208,Female,48,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,150k+,Republican,Once a month or less
209,Male,67,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,1,10k to <25k,Democrat,Several Times a day
213,Female,39,Bachelor and Beyond,Hispanic,Northeast,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Democrat,A few times a week
214,Female,33,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Nothing in particular,0,0,1,1,75k to <100k,Democrat,Several Times a day
217,Male,48,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Agnostic,1,1,1,1,100k to <150k,Democrat,Once a week
218,Female,46,Less then High School,White/Non-Hispanic,West,No,Nothing in particular,0,0,0,0,25k to <50k,Republican,A few times a month
220,Male,22,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,1,0,0,75k to <100k,Democrat,Once a day
224,Male,54,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,0,0,0,75k to <100k,Democrat,Several Times a day
227,Male,36,Some College,White/Non-Hispanic,Northeast,Yes,Other,1,0,0,0,25k to <50k,Other,Several Times a day
229,Female,28,Some College,White/Non-Hispanic,Midwest,Yes,Nothing in particular,0,0,0,0,25k to <50k,Other,A few times a week
230,Male,30,High School,Black/Non-Hispanic,Midwest,Yes,Nothing in particular,0,0,0,0,10k to <25k,Democrat,Several Times a day
231,Male,67,Some College,White/Non-Hispanic,West,Yes,Nothing in particular,0,0,0,1,75k to <100k,Democrat,Once a day
232,Female,52,Bachelor and Beyond,Black/Non-Hispanic,South,Probably,"Christian, Protestant",1,0,0,0,100k to <150k,Other,A few times a week
234,Female,43,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,0,1,150k+,Democrat,A few times a week
238,Female,46,Less then High School,White/Non-Hispanic,Northeast,No,"Christian, Protestant",0,0,0,0,<10k,Other,A few times a month
239,Male,62,Some College,Other/Non-Hispanic,West,Yes,"Christian, Protestant",0,0,0,0,100k to <150k,Other,Several Times a day
241,Male,38,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Nothing in particular,0,0,0,0,75k to <100k,Democrat,Once a day
244,Male,56,Some College,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",0,0,0,0,<10k,Other,Several Times a day
245,Male,59,Bachelor and Beyond,Black/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,1,0,0,150k+,Democrat,A few times a week
249,Female,57,High School,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",0,0,0,0,25k to <50k,Republican,A few times a month
250,Male,75,Some College,White/Non-Hispanic,Northeast,No,Atheist,0,0,0,0,100k to <150k,Other,A few times a week
251,Male,54,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",0,0,0,0,150k+,Republican,A few times a week
261,Female,35,Bachelor and Beyond,Black/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,0,75k to <100k,Democrat,Several Times a day
262,Male,38,Some College,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,0,0,25k to <50k,Republican,Once a month or less
263,Male,28,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,1,0,75k to <100k,Other,Once a week
264,Male,71,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,1,0,10k to <25k,Democrat,A few times a week
266,Male,51,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Nothing in particular,1,0,0,0,150k+,Other,Several Times a day
270,Female,34,High School,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,0,0,<10k,Democrat,A few times a month
271,Male,85,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Other,1,0,1,1,25k to <50k,Republican,A few times a week
272,Female,74,Bachelor and Beyond,Black/Non-Hispanic,Northeast,Yes,Atheist,1,1,1,1,75k to <100k,Other,A few times a month
275,Female,68,High School,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,10k to <25k,Republican,A few times a week
276,Female,30,Some College,White/Non-Hispanic,Midwest,Yes,Nothing in particular,1,0,0,0,25k to <50k,Other,Once a month or less
277,Female,62,Some College,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,0,0,50k to <75k,Other,Once a month or less
279,Female,67,High School,White/Non-Hispanic,Midwest,Yes,Nothing in particular,1,0,1,0,75k to <100k,Democrat,Once a day
280,Male,50,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,1,1,1,75k to <100k,Democrat,A few times a week
281,Male,28,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,1,1,1,50k to <75k,Other,Once a week
283,Male,44,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Agnostic,0,0,1,1,50k to <75k,Democrat,Once a day
284,Male,19,Some College,Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,150k+,Republican,A few times a week
286,Male,60,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,0,75k to <100k,Republican,Once a day
288,Female,66,Some College,White/Non-Hispanic,West,Yes,"Christian, Mormon",1,0,0,0,100k to <150k,Republican,Once a week
291,Male,49,Bachelor and Beyond,Black/Non-Hispanic,South,Yes,Other,1,0,1,0,10k to <25k,Other,Once a day
293,Male,44,Some College,2+ Races/Non-Hispanic,Northeast,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Democrat,Once a day
294,Female,30,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,0,75k to <100k,Republican,A few times a week
297,Female,28,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Agnostic,1,1,1,1,100k to <150k,Democrat,Several Times a day
298,Female,68,Bachelor and Beyond,Black/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,0,75k to <100k,Democrat,A few times a month
299,Female,67,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Nothing in particular,1,1,1,0,100k to <150k,Democrat,A few times a week
301,Male,56,High School,White/Non-Hispanic,Northeast,Yes,Other,0,0,1,0,25k to <50k,Other,A few times a month
303,Male,64,Some College,White/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,0,50k to <75k,Democrat,Several Times a day
304,Female,70,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Jewish,0,0,1,1,100k to <150k,Democrat,Several Times a day
305,Female,30,Bachelor and Beyond,White/Non-Hispanic,Northeast,No,Jewish,0,0,0,0,150k+,Democrat,Once a day
306,Female,65,High School,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Democrat,A few times a week
307,Male,50,Bachelor and Beyond,Other/Non-Hispanic,West,Yes,Buddhist,0,0,1,0,75k to <100k,Other,Several Times a day
308,Male,32,Bachelor and Beyond,Hispanic,West,Yes,Nothing in particular,0,0,0,0,150k+,Democrat,A few times a month
309,Male,51,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,0,1,25k to <50k,Republican,Several Times a day
310,Female,60,Some College,White/Non-Hispanic,West,Yes,Nothing in particular,0,0,0,0,75k to <100k,Republican,A few times a week
311,Male,53,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Other,Several Times a day
313,Male,51,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Other,Once a day
315,Female,54,Bachelor and Beyond,Black/Non-Hispanic,West,Yes,Jewish,0,0,0,0,100k to <150k,Republican,Several Times a day
316,Female,34,High School,White/Non-Hispanic,West,Yes,,0,0,1,0,50k to <75k,Other,Once a month or less
317,Male,38,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,0,0,75k to <100k,Other,Several Times a day
319,Female,36,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Agnostic,1,1,1,1,100k to <150k,Democrat,Several Times a day
320,Female,50,Bachelor and Beyond,Other/Non-Hispanic,West,Yes,"Christian, Protestant",1,0,1,0,100k to <150k,Democrat,A few times a month
321,Female,63,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Nothing in particular,1,0,1,0,100k to <150k,Other,A few times a week
322,Male,68,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Agnostic,0,0,0,1,75k to <100k,Democrat,A few times a week
323,Male,34,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,1,0,75k to <100k,Republican,Once a day
325,Male,50,Some College,Black/Non-Hispanic,South,Yes,"Christian, Roman Catholic",1,1,0,1,50k to <75k,Democrat,Several Times a day
327,Male,59,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Agnostic,0,0,1,0,100k to <150k,Other,Several Times a day
330,Female,65,High School,White/Non-Hispanic,West,Yes,Nothing in particular,0,0,1,0,25k to <50k,Democrat,Several Times a day
332,Female,63,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Republican,Once a month or less
333,Male,32,Bachelor and Beyond,Other/Non-Hispanic,Midwest,No,Hindu,1,0,0,0,75k to <100k,Democrat,Several Times a day
334,Female,64,Some College,2+ Races/Non-Hispanic,West,Yes,"Christian, Roman Catholic",0,0,0,0,75k to <100k,Democrat,A few times a week
335,Female,43,Bachelor and Beyond,Hispanic,South,Yes,Nothing in particular,0,1,1,1,100k to <150k,Other,Several Times a day
336,Male,40,High School,White/Non-Hispanic,South,Probably,Nothing in particular,0,0,0,0,25k to <50k,Democrat,A few times a week
338,Male,34,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",0,0,0,0,100k to <150k,Other,A few times a week
342,Male,43,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,1,1,1,75k to <100k,Democrat,Several Times a day
343,Male,47,High School,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Democrat,Several Times a day
346,Female,34,Some College,2+ Races/Non-Hispanic,South,Yes,Nothing in particular,0,0,1,0,25k to <50k,Other,A few times a week
347,Male,45,Bachelor and Beyond,2+ Races/Non-Hispanic,Northeast,Yes,Atheist,1,1,1,1,150k+,Democrat,Once a day
349,Male,63,Some College,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,1,0,1,75k to <100k,Republican,Once a month or less
350,Female,59,Some College,White/Non-Hispanic,South,Yes,Other,1,0,1,0,75k to <100k,Republican,Once a month or less
352,Female,45,High School,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Republican,Once a day
353,Male,60,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Agnostic,1,0,1,1,100k to <150k,Democrat,A few times a week
354,Female,38,Some College,White/Non-Hispanic,West,Yes,Other,1,0,0,0,75k to <100k,Republican,A few times a week
355,Male,37,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Atheist,0,0,0,0,75k to <100k,Democrat,Once a month or less
357,Male,38,Some College,Black/Non-Hispanic,South,Probably,Other,0,0,0,0,50k to <75k,Other,Several Times a day
359,Female,58,Some College,Hispanic,South,Yes,"Christian, Roman Catholic",1,0,0,1,10k to <25k,Democrat,A few times a month
366,Female,47,Some College,White/Non-Hispanic,South,No,"Christian, Protestant",0,0,0,0,75k to <100k,Republican,Once a month or less
367,Female,50,Some College,2+ Races/Non-Hispanic,West,Yes,"Christian, Protestant",1,0,0,0,50k to <75k,Other,A few times a week
369,Male,52,Some College,Black/Non-Hispanic,West,Yes,"Christian, Protestant",0,0,0,0,50k to <75k,Democrat,A few times a month
370,Female,34,Less then High School,White/Non-Hispanic,South,No,Hindu,0,0,0,0,<10k,Other,Once a month or less
371,Female,62,Some College,Black/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,0,0,75k to <100k,Democrat,Once a month or less
375,Male,34,Some College,White/Non-Hispanic,Midwest,Yes,"Christian, Roman Catholic",1,0,1,0,100k to <150k,Republican,A few times a month
377,Male,51,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Jewish,1,1,1,0,75k to <100k,Democrat,Several Times a day
379,Female,30,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Agnostic,1,1,1,1,50k to <75k,Democrat,A few times a week
381,Male,48,Some College,White/Non-Hispanic,South,Yes,Nothing in particular,1,1,1,1,100k to <150k,Democrat,Once a day
382,Male,44,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Atheist,0,0,0,0,75k to <100k,Other,A few times a week
383,Female,61,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,0,0,10k to <25k,Democrat,Once a month or less
384,Male,68,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Jewish,1,1,1,1,150k+,Democrat,Once a day
386,Male,32,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Nothing in particular,0,0,0,0,<10k,Other,Several Times a day
387,Female,34,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,0,0,0,75k to <100k,Democrat,A few times a week
388,Female,33,Bachelor and Beyond,2+ Races/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,1,1,1,50k to <75k,Other,Several Times a day
390,Male,68,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,1,0,75k to <100k,Other,Once a day
391,Female,56,Some College,Other/Non-Hispanic,South,Yes,Atheist,0,0,0,0,100k to <150k,Democrat,Several Times a day
394,Female,33,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Mormon",1,0,0,0,100k to <150k,Republican,Once a week
395,Male,41,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,0,0,0,75k to <100k,Republican,A few times a week
396,Female,70,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Nothing in particular,0,0,0,0,100k to <150k,Other,Once a day
397,Female,37,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",1,0,0,0,100k to <150k,Democrat,Several Times a day
398,Female,60,High School,White/Non-Hispanic,South,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Republican,A few times a week
399,Female,41,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,"Christian, Protestant",0,0,0,0,75k to <100k,Democrat,Once a month or less
401,Male,41,Some College,Hispanic,West,Yes,Nothing in particular,,0,0,0,75k to <100k,Other,Several Times a day
402,Male,63,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,1,1,1,50k to <75k,Democrat,Once a day
