CaseID,Col2,Col3
48,Attended a Political Rally in the Past Year,1
48,Contacted an Elected Official in the Past Year,1
48,Political Donation in the Past Year,0
48,Househol Income,75k to <100k
48,Political Party,Republican
48,User Frequency,Several Times a day
50,Gender,Female
50,Age,57
50,Education,Bachelor and Beyond
50,Race/ Ethnicity,White/Non-Hispanic
50,Region,Midwest
50,Registered to Vote,Yes
50,Religion,"Christian, Protestant"
50,Volunteered in the Past Year,0
50,Attended a Political Rally in the Past Year,0
50,Contacted an Elected Official in the Past Year,0
50,Political Donation in the Past Year,0
50,Househol Income,75k to <100k
50,Political Party,Other
50,User Frequency,A few times a week
51,Gender,Male
51,Age,61
51,Education,Bachelor and Beyond
51,Race/ Ethnicity,Black/Non-Hispanic
51,Region,Northeast
51,Registered to Vote,Yes
51,Religion,Nothing in particular
51,Volunteered in the Past Year,0
51,Attended a Political Rally in the Past Year,0
51,Contacted an Elected Official in the Past Year,0
51,Political Donation in the Past Year,0
51,Househol Income,100k to <150k
51,Political Party,Democrat
51,User Frequency,Several Times a day
52,Gender,Male
52,Age,50
52,Education,Some College
52,Race/ Ethnicity,White/Non-Hispanic
52,Region,West
52,Registered to Vote,Yes
52,Religion,"Christian, Protestant"
52,Volunteered in the Past Year,0
52,Attended a Political Rally in the Past Year,0
52,Contacted an Elected Official in the Past Year,0
52,Political Donation in the Past Year,0
52,Househol Income,50k to <75k
52,Political Party,Republican
52,User Frequency,A few times a week
54,Gender,Male
54,Age,63
54,Education,Some College
54,Race/ Ethnicity,White/Non-Hispanic
54,Region,Midwest
54,Registered to Vote,Yes
54,Religion,"Christian, Protestant"
54,Volunteered in the Past Year,0
54,Attended a Political Rally in the Past Year,0
54,Contacted an Elected Official in the Past Year,1
54,Political Donation in the Past Year,0
54,Househol Income,50k to <75k
54,Political Party,Other
54,User Frequency,A few times a week
55,Gender,Female
55,Age,50
55,Education,Bachelor and Beyond
55,Race/ Ethnicity,White/Non-Hispanic
55,Region,South
55,Registered to Vote,Yes
55,Religion,"Christian, Protestant"
55,Volunteered in the Past Year,1
55,Attended a Political Rally in the Past Year,0
55,Contacted an Elected Official in the Past Year,0
55,Political Donation in the Past Year,0
55,Househol Income,100k to <150k
55,Political Party,Republican
55,User Frequency,A few times a week
108,Gender,Male
108,Age,67
108,Education,High School
108,Race/ Ethnicity,White/Non-Hispanic
108,Region,Midwest
108,Registered to Vote,Yes
108,Religion,"Christian, Protestant"
108,Volunteered in the Past Year,1
108,Attended a Political Rally in the Past Year,0
108,Contacted an Elected Official in the Past Year,0
108,Political Donation in the Past Year,1
108,Househol Income,75k to <100k
108,Political Party,Other
108,User Frequency,Once a day
111,Gender,Female
111,Age,51
111,Education,Bachelor and Beyond
111,Race/ Ethnicity,White/Non-Hispanic
111,Region,Northeast
111,Registered to Vote,Yes
111,Religion,Atheist
111,Volunteered in the Past Year,1
111,Attended a Political Rally in the Past Year,1
111,Contacted an Elected Official in the Past Year,1
111,Political Donation in the Past Year,1
111,Househol Income,100k to <150k
111,Political Party,Democrat
111,User Frequency,Several Times a day
112,Gender,Male
112,Age,39
112,Education,Bachelor and Beyond
112,Race/ Ethnicity,White/Non-Hispanic
112,Region,Midwest
112,Registered to Vote,No
112,Religion,"Christian, Roman Catholic"
112,Volunteered in the Past Year,0
112,Attended a Political Rally in the Past Year,0
112,Contacted an Elected Official in the Past Year,0
112,Political Donation in the Past Year,0
112,Househol Income,150k+
112,Political Party,Democrat
112,User Frequency,Once a day
113,Gender,Male
113,Age,25
113,Education,Bachelor and Beyond
113,Race/ Ethnicity,2+ Races/Non-Hispanic
113,Region,Northeast
113,Registered to Vote,Yes
113,Religion,Other
113,Volunteered in the Past Year,1
113,Attended a Political Rally in the Past Year,0
113,Contacted an Elected Official in the Past Year,0
113,Political Donation in the Past Year,0
113,Househol Income,75k to <100k
113,Political Party,Democrat
113,User Frequency,Several Times a day
114,Gender,Male
114,Age,33
114,Education,Bachelor and Beyond
114,Race/ Ethnicity,White/Non-Hispanic
114,Region,West
114,Registered to Vote,Yes
114,Religion,Atheist
114,Volunteered in the Past Year,0
114,Attended a Political Rally in the Past Year,0
114,Contacted an Elected Official in the Past Year,0
114,Political Donation in the Past Year,0
114,Househol Income,50k to <75k
114,Political Party,Democrat
114,User Frequency,Several Times a day
115,Gender,Female
115,Age,23
115,Education,Bachelor and Beyond
115,Race/ Ethnicity,White/Non-Hispanic
115,Region,Northeast
115,Registered to Vote,Yes
115,Religion,"Christian, Roman Catholic"
115,Volunteered in the Past Year,0
115,Attended a Political Rally in the Past Year,0
115,Contacted an Elected Official in the Past Year,0
115,Political Donation in the Past Year,0
115,Househol Income,100k to <150k
115,Political Party,Other
115,User Frequency,Several Times a day
116,Gender,Male
116,Age,57
116,Education,Bachelor and Beyond
116,Race/ Ethnicity,White/Non-Hispanic
116,Region,West
116,Registered to Vote,Yes
116,Religion,Agnostic
116,Volunteered in the Past Year,0
116,Attended a Political Rally in the Past Year,0
116,Contacted an Elected Official in the Past Year,0
116,Political Donation in the Past Year,1
116,Househol Income,100k to <150k
116,Political Party,Democrat
116,User Frequency,Several Times a day
117,Gender,Female
117,Age,36
117,Education,Bachelor and Beyond
117,Race/ Ethnicity,White/Non-Hispanic
117,Region,South
117,Registered to Vote,Yes
117,Religion,Other
117,Volunteered in the Past Year,1
117,Attended a Political Rally in the Past Year,1
117,Contacted an Elected Official in the Past Year,1
117,Political Donation in the Past Year,0
117,Househol Income,75k to <100k
117,Political Party,Democrat
117,User Frequency,A few times a month
119,Gender,Female
119,Age,75
119,Education,Bachelor and Beyond
119,Race/ Ethnicity,White/Non-Hispanic
119,Region,Northeast
119,Registered to Vote,Yes
119,Religion,Jewish
119,Volunteered in the Past Year,1
119,Attended a Political Rally in the Past Year,0
119,Contacted an Elected Official in the Past Year,0
119,Political Donation in the Past Year,0
119,Househol Income,100k to <150k
119,Political Party,Other
119,User Frequency,Once a month or less
120,Gender,Female
120,Age,24
120,Education,Some College
120,Race/ Ethnicity,White/Non-Hispanic
120,Region,West
120,Registered to Vote,Yes
120,Religion,Nothing in particular
120,Volunteered in the Past Year,1
120,Attended a Political Rally in the Past Year,1
120,Contacted an Elected Official in the Past Year,1
120,Political Donation in the Past Year,1
120,Househol Income,<10k
120,Political Party,Democrat
120,User Frequency,Several Times a day
122,Gender,Male
122,Age,73
122,Education,Bachelor and Beyond
122,Race/ Ethnicity,2+ Races/Non-Hispanic
122,Region,West
122,Registered to Vote,Yes
122,Religion,Other
122,Volunteered in the Past Year,0
122,Attended a Political Rally in the Past Year,1
122,Contacted an Elected Official in the Past Year,1
122,Political Donation in the Past Year,1
122,Househol Income,100k to <150k
122,Political Party,Other
122,User Frequency,A few times a month
123,Gender,Male
123,Age,48
123,Education,Some College
123,Race/ Ethnicity,White/Non-Hispanic
123,Region,Midwest
123,Registered to Vote,Yes
123,Religion,"Christian, Protestant"
123,Volunteered in the Past Year,0
123,Attended a Political Rally in the Past Year,0
123,Contacted an Elected Official in the Past Year,0
123,Political Donation in the Past Year,0
123,Househol Income,100k to <150k
123,Political Party,Other
123,User Frequency,Once a month or less
124,Gender,Female
124,Age,53
124,Education,Bachelor and Beyond
124,Race/ Ethnicity,Hispanic
124,Region,West
124,Registered to Vote,Yes
124,Religion,Agnostic
124,Volunteered in the Past Year,1
124,Attended a Political Rally in the Past Year,0
124,Contacted an Elected Official in the Past Year,0
124,Political Donation in the Past Year,0
124,Househol Income,100k to <150k
124,Political Party,Other
124,User Frequency,Several Times a day
126,Gender,Male
126,Age,39
126,Education,Some College
126,Race/ Ethnicity,White/Non-Hispanic
126,Region,South
126,Registered to Vote,Yes
126,Religion,"Christian, Protestant"
126,Volunteered in the Past Year,1
126,Attended a Political Rally in the Past Year,1
126,Contacted an Elected Official in the Past Year,1
126,Political Donation in the Past Year,0
126,Househol Income,50k to <75k
126,Political Party,Other
126,User Frequency,Several Times a day
127,Gender,Male
127,Age,68
127,Education,Bachelor and Beyond
127,Race/ Ethnicity,White/Non-Hispanic
127,Region,Northeast
127,Registered to Vote,Yes
127,Religion,Jewish
127,Volunteered in the Past Year,1
127,Attended a Political Rally in the Past Year,1
127,Contacted an Elected Official in the Past Year,1
127,Political Donation in the Past Year,1
127,Househol Income,100k to <150k
127,Political Party,Democrat
127,User Frequency,Several Times a day
130,Gender,Female
130,Age,31
130,Education,Some College
130,Race/ Ethnicity,Black/Non-Hispanic
130,Region,South
130,Registered to Vote,Yes
130,Religion,Other
130,Volunteered in the Past Year,1
130,Attended a Political Rally in the Past Year,1
130,Contacted an Elected Official in the Past Year,1
130,Political Donation in the Past Year,1
130,Househol Income,150k+
130,Political Party,Democrat
130,User Frequency,A few times a month
131,Gender,Female
131,Age,46
131,Education,Some College
131,Race/ Ethnicity,2+ Races/Non-Hispanic
131,Region,South
131,Registered to Vote,Yes
131,Religion,"Christian, Roman Catholic"
131,Volunteered in the Past Year,0
131,Contacted an Elected Official in the Past Year,0
131,Political Donation in the Past Year,0
131,Househol Income,25k to <50k
131,Political Party,Other
131,User Frequency,A few times a week
132,Gender,Male
132,Age,58
132,Education,Bachelor and Beyond
132,Race/ Ethnicity,Black/Non-Hispanic
132,Region,Northeast
132,Registered to Vote,Yes
132,Religion,"Christian, Protestant"
132,Volunteered in the Past Year,1
132,Attended a Political Rally in the Past Year,0
132,Contacted an Elected Official in the Past Year,1
132,Political Donation in the Past Year,0
132,Househol Income,100k to <150k
132,Political Party,Other
132,User Frequency,A few times a week
133,Gender,Female
133,Age,27
133,Education,Bachelor and Beyond
133,Race/ Ethnicity,White/Non-Hispanic
133,Region,West
133,Registered to Vote,Yes
133,Religion,"Christian, Protestant"
133,Volunteered in the Past Year,0
133,Attended a Political Rally in the Past Year,0
133,Contacted an Elected Official in the Past Year,0
133,Political Donation in the Past Year,0
133,Househol Income,25k to <50k
133,Political Party,Republican
133,User Frequency,Once a month or less
134,Gender,Male
134,Age,40
134,Education,Bachelor and Beyond
134,Race/ Ethnicity,Other/Non-Hispanic
134,Region,West
134,Registered to Vote,Yes
134,Religion,Agnostic
134,Volunteered in the Past Year,0
134,Attended a Political Rally in the Past Year,0
134,Contacted an Elected Official in the Past Year,0
134,Political Donation in the Past Year,0
134,Househol Income,50k to <75k
134,Political Party,Democrat
134,User Frequency,Several Times a day
136,Gender,Female
136,Age,25
136,Education,Bachelor and Beyond
136,Race/ Ethnicity,2+ Races/Non-Hispanic
136,Region,South
136,Registered to Vote,Yes
136,Religion,"Christian, Roman Catholic"
136,Volunteered in the Past Year,1
136,Attended a Political Rally in the Past Year,0
136,Contacted an Elected Official in the Past Year,0
136,Political Donation in the Past Year,0
136,Househol Income,75k to <100k
136,Political Party,Republican
136,User Frequency,Once a day
138,Gender,Male
138,Age,64
138,Education,Bachelor and Beyond
138,Race/ Ethnicity,White/Non-Hispanic
138,Region,West
138,Religion,Other
138,Volunteered in the Past Year,1
138,Attended a Political Rally in the Past Year,0
138,Contacted an Elected Official in the Past Year,0
138,Political Donation in the Past Year,0
138,Househol Income,75k to <100k
138,Political Party,Other
138,User Frequency,Once a week
139,Gender,Female
139,Age,34
139,Education,Bachelor and Beyond
139,Race/ Ethnicity,White/Non-Hispanic
139,Region,Midwest
139,Registered to Vote,Yes
139,Religion,"Christian, Protestant"
139,Volunteered in the Past Year,0
139,Attended a Political Rally in the Past Year,0
139,Contacted an Elected Official in the Past Year,0
139,Political Donation in the Past Year,0
139,Househol Income,100k to <150k
139,Political Party,Democrat
139,User Frequency,Once a month or less
140,Gender,Male
140,Age,58
140,Education,Bachelor and Beyond
140,Race/ Ethnicity,Other/Non-Hispanic
140,Region,Northeast
140,Registered to Vote,Yes
140,Religion,Nothing in particular
140,Volunteered in the Past Year,1
140,Attended a Political Rally in the Past Year,1
140,Contacted an Elected Official in the Past Year,0
140,Political Donation in the Past Year,1
140,Househol Income,75k to <100k
140,Political Party,Other
140,User Frequency,Several Times a day
143,Gender,Male
143,Age,44
143,Education,Some College
143,Race/ Ethnicity,White/Non-Hispanic
143,Region,West
143,Registered to Vote,Yes
143,Religion,"Christian, Roman Catholic"
143,Volunteered in the Past Year,0
143,Attended a Political Rally in the Past Year,0
143,Contacted an Elected Official in the Past Year,0
143,Political Donation in the Past Year,0
143,Househol Income,100k to <150k
143,Political Party,Democrat
143,User Frequency,Several Times a day
144,Gender,Female
144,Age,36
144,Education,Bachelor and Beyond
144,Race/ Ethnicity,White/Non-Hispanic
144,Region,South
144,Registered to Vote,Yes
144,Religion,"Christian, Protestant"
144,Volunteered in the Past Year,1
144,Attended a Political Rally in the Past Year,0
144,Contacted an Elected Official in the Past Year,0
144,Political Donation in the Past Year,0
144,Househol Income,100k to <150k
144,Political Party,Republican
144,User Frequency,A few times a month
146,Gender,Male
146,Age,73
146,Education,High School
146,Race/ Ethnicity,White/Non-Hispanic
146,Region,Midwest
146,Registered to Vote,Yes
146,Religion,Nothing in particular
146,Volunteered in the Past Year,0
146,Attended a Political Rally in the Past Year,0
146,Contacted an Elected Official in the Past Year,1
146,Political Donation in the Past Year,1
146,Househol Income,50k to <75k
146,Political Party,Other
146,User Frequency,Several Times a day
147,Gender,Male
147,Age,64
147,Education,Bachelor and Beyond
147,Race/ Ethnicity,White/Non-Hispanic
147,Region,Midwest
147,Registered to Vote,Yes
147,Religion,Atheist
147,Volunteered in the Past Year,1
147,Attended a Political Rally in the Past Year,1
147,Contacted an Elected Official in the Past Year,1
147,Political Donation in the Past Year,1
147,Househol Income,100k to <150k
147,Political Party,Other
147,User Frequency,A few times a week
148,Gender,Male
148,Age,52
148,Education,Bachelor and Beyond
148,Race/ Ethnicity,White/Non-Hispanic
148,Region,West
148,Registered to Vote,Yes
148,Religion,"Christian, Protestant"
148,Volunteered in the Past Year,1
148,Attended a Political Rally in the Past Year,0
148,Contacted an Elected Official in the Past Year,1
148,Political Donation in the Past Year,0
148,Househol Income,100k to <150k
148,Political Party,Republican
148,User Frequency,Several Times a day
149,Gender,Female
149,Age,45
149,Education,Bachelor and Beyond
149,Race/ Ethnicity,White/Non-Hispanic
149,Region,Northeast
149,Registered to Vote,Yes
149,Religion,Jewish
149,Volunteered in the Past Year,1
149,Attended a Political Rally in the Past Year,0
149,Contacted an Elected Official in the Past Year,1
149,Political Donation in the Past Year,0
149,Househol Income,75k to <100k
149,Political Party,Democrat
149,User Frequency,A few times a week
151,Gender,Male
151,Age,66
151,Education,Bachelor and Beyond
151,Race/ Ethnicity,White/Non-Hispanic
151,Region,South
151,Registered to Vote,Yes
151,Religion,"Christian, Roman Catholic"
151,Volunteered in the Past Year,1
151,Attended a Political Rally in the Past Year,0
151,Contacted an Elected Official in the Past Year,0
151,Political Donation in the Past Year,0
151,Househol Income,50k to <75k
151,Political Party,Other
151,User Frequency,A few times a week
154,Gender,Male
154,Age,38
154,Education,Some College
154,Race/ Ethnicity,White/Non-Hispanic
154,Region,South
154,Registered to Vote,Yes
154,Religion,"Christian, Protestant"
154,Volunteered in the Past Year,0
154,Attended a Political Rally in the Past Year,0
154,Contacted an Elected Official in the Past Year,0
154,Political Donation in the Past Year,0
154,Househol Income,50k to <75k
154,Political Party,Republican
154,User Frequency,Several Times a day
155,Gender,Female
155,Age,26
155,Education,Bachelor and Beyond
155,Race/ Ethnicity,White/Non-Hispanic
155,Region,Northeast
155,Registered to Vote,Yes
155,Religion,Atheist
155,Attended a Political Rally in the Past Year,0
155,Contacted an Elected Official in the Past Year,0
155,Political Donation in the Past Year,0
155,Househol Income,10k to <25k
155,Political Party,Democrat
155,User Frequency,A few times a month
156,Gender,Female
156,Age,41
156,Education,Some College
156,Race/ Ethnicity,White/Non-Hispanic
156,Region,West
156,Registered to Vote,Yes
156,Religion,"Christian, Mormon"
156,Volunteered in the Past Year,0
156,Attended a Political Rally in the Past Year,0
156,Contacted an Elected Official in the Past Year,0
156,Political Donation in the Past Year,0
156,Househol Income,10k to <25k
156,Political Party,Republican
156,User Frequency,Once a month or less
157,Gender,Female
157,Age,54
157,Education,Bachelor and Beyond
157,Race/ Ethnicity,White/Non-Hispanic
157,Region,West
157,Registered to Vote,Yes
157,Religion,Jewish
157,Volunteered in the Past Year,1
157,Attended a Political Rally in the Past Year,1
157,Contacted an Elected Official in the Past Year,1
157,Political Donation in the Past Year,1
157,Househol Income,100k to <150k
157,Political Party,Democrat
157,User Frequency,A few times a month
159,Gender,Male
159,Age,69
159,Education,Bachelor and Beyond
159,Race/ Ethnicity,Black/Non-Hispanic
159,Region,West
159,Registered to Vote,Probably
159,Religion,Nothing in particular
159,Volunteered in the Past Year,1
159,Attended a Political Rally in the Past Year,0
159,Contacted an Elected Official in the Past Year,1
159,Political Donation in the Past Year,0
159,Househol Income,150k+
